15_30
0.353000	0.330800	0.357000	0.380000	0.341000	0.380000	0.334000	0.319000	0.334000	
0.453200	0.432600	0.449000	0.481000	0.443000	0.476000	0.425000	0.414000	0.420000	
0.492400	0.452600	0.474000	0.504000	0.477000	0.504000	0.472000	0.429000	0.456000	
0.536000	0.496000	0.511200	0.556000	0.511000	0.539000	0.523000	0.482000	0.486000	
0.525000	0.486400	0.510400	0.529000	0.498000	0.522000	0.522000	0.476000	0.504000	
0.547200	0.503600	0.525400	0.552000	0.524000	0.542000	0.543000	0.496000	0.506000	
0.536800	0.495200	0.529800	0.545000	0.516000	0.542000	0.527000	0.484000	0.509000	
0.559800	0.517400	0.547200	0.572000	0.541000	0.557000	0.545000	0.500000	0.529000	
0.555400	0.513200	0.538000	0.571000	0.529000	0.544000	0.541000	0.500000	0.534000	
0.554400	0.510400	0.527600	0.565000	0.524000	0.544000	0.532000	0.489000	0.514000	
40_55
0.444600	0.424400	0.498600	0.460000	0.457000	0.515000	0.422000	0.407000	0.455000	
0.569800	0.538000	0.627400	0.582000	0.551000	0.652000	0.557000	0.523000	0.605000	
0.584800	0.551000	0.645800	0.593000	0.567000	0.663000	0.577000	0.540000	0.625000	
0.632200	0.598800	0.694600	0.646000	0.610000	0.715000	0.622000	0.590000	0.675000	
0.639400	0.605400	0.702200	0.652000	0.617000	0.713000	0.609000	0.580000	0.680000	
0.648600	0.608600	0.701200	0.654000	0.617000	0.720000	0.640000	0.604000	0.695000	
0.656200	0.615000	0.719400	0.669000	0.625000	0.733000	0.649000	0.594000	0.703000	
0.663400	0.625000	0.723000	0.679000	0.636000	0.738000	0.648000	0.608000	0.702000	
0.664600	0.625000	0.723800	0.676000	0.637000	0.740000	0.653000	0.614000	0.715000	
0.670000	0.625200	0.725800	0.675000	0.632000	0.740000	0.667000	0.619000	0.713000	
65_80
0.549800	0.521000	0.551400	0.574000	0.547000	0.575000	0.525000	0.485000	0.530000	
0.672600	0.617000	0.655400	0.702000	0.640000	0.680000	0.640000	0.598000	0.625000	
0.706200	0.659800	0.680800	0.727000	0.678000	0.700000	0.668000	0.620000	0.652000	
0.743800	0.679800	0.718200	0.748000	0.682000	0.727000	0.740000	0.674000	0.710000	
0.757800	0.691000	0.732400	0.780000	0.724000	0.757000	0.746000	0.669000	0.722000	
0.768400	0.709800	0.735400	0.789000	0.733000	0.765000	0.752000	0.694000	0.710000	
0.772200	0.706400	0.734200	0.789000	0.727000	0.742000	0.754000	0.677000	0.725000	
0.784000	0.720800	0.746800	0.793000	0.743000	0.757000	0.777000	0.711000	0.735000	
0.777800	0.716400	0.747200	0.793000	0.734000	0.762000	0.769000	0.709000	0.732000	
0.791800	0.728200	0.753400	0.800000	0.739000	0.755000	0.788000	0.718000	0.750000	
